Date,FTSE,NASDAQ
2009-06-30,4249.2001953125,1835.0400390625
2009-07-31,4608.39990234375,1978.5
2009-08-31,4908.89990234375,2009.06005859375
2009-09-30,5133.89990234375,2122.419921875
2009-10-31,5044.60009765625,2045.1099853515625
2009-11-30,5190.7001953125,2144.60009765625
2009-12-31,5412.89990234375,2269.14990234375
2010-01-31,5188.5,2147.35009765625
2010-02-28,5354.5,2238.260009765625
2010-03-31,5679.60009765625,2397.9599609375
2010-04-30,5553.2998046875,2461.18994140625
2010-05-31,5188.39990234375,2257.0400390625
2010-06-30,4916.89990234375,2109.239990234375
2010-07-31,5258.0,2254.699951171875
2010-08-31,5225.2001953125,2114.030029296875
2010-09-30,5548.60009765625,2368.6201171875
2010-10-31,5675.2001953125,2507.409912109375
2010-11-30,5528.2998046875,2498.22998046875
2010-12-31,5899.89990234375,2652.8701171875
2011-01-31,5862.89990234375,2700.080078125
2011-02-28,5994.0,2782.27001953125
2011-03-31,5908.7998046875,2781.070068359375
2011-04-30,6069.89990234375,2873.5400390625
2011-05-31,5990.0,2835.300048828125
2011-06-30,5945.7001953125,2773.52001953125
2011-07-31,5815.2001953125,2756.3798828125
2011-08-31,5394.5,2579.4599609375
2011-09-30,5128.5,2415.39990234375
2011-10-31,5544.2001953125,2684.409912109375
2011-11-30,5505.39990234375,2620.340087890625
2011-12-31,5572.2998046875,2605.14990234375
2012-01-31,5681.60009765625,2813.840087890625
2012-02-29,5871.5,2966.889892578125
2012-03-31,5768.5,3091.570068359375
2012-04-30,5737.7998046875,3046.360107421875
2012-05-31,5320.89990234375,2827.340087890625
2012-06-30,5571.2001953125,2935.050048828125
2012-07-31,5635.2998046875,2939.52001953125
2012-08-31,5711.5,3066.9599609375
2012-09-30,5742.10009765625,3116.22998046875
2012-10-31,5782.7001953125,2977.22998046875
2012-11-30,5866.7998046875,3010.239990234375
2012-12-31,5897.7998046875,3019.510009765625
2013-01-31,6276.89990234375,3142.1298828125
2013-02-28,6360.7998046875,3160.18994140625
2013-03-31,6411.7001953125,3267.52001953125
2013-04-30,6430.10009765625,3328.7900390625
2013-05-31,6583.10009765625,3455.909912109375
2013-06-30,6215.5,3403.25
2013-07-31,6621.10009765625,3626.3701171875
2013-08-31,6412.89990234375,3589.8701171875
2013-09-30,6462.2001953125,3771.47998046875
2013-10-31,6731.39990234375,3919.7099609375
2013-11-30,6650.60009765625,4059.889892578125
2013-12-31,6749.10009765625,4176.58984375
2014-01-31,6510.39990234375,4103.8798828125
2014-02-28,6809.7001953125,4308.1201171875
2014-03-31,6598.39990234375,4198.990234375
2014-04-30,6780.0,4114.56005859375
2014-05-31,6844.5,4242.6201171875
2014-06-30,6743.89990234375,4408.18017578125
2014-07-31,6730.10009765625,4369.77001953125
2014-08-31,6819.7998046875,4580.27001953125
2014-09-30,6622.7001953125,4493.39013671875
2014-10-31,6546.5,4630.740234375
2014-11-30,6722.60009765625,4791.6298828125
2014-12-31,6566.10009765625,4736.0498046875
2015-01-31,6749.39990234375,4635.240234375
2015-02-28,6946.7001953125,4963.52978515625
2015-03-31,6773.0,4900.8798828125
2015-04-30,6960.60009765625,4941.419921875
2015-05-31,6984.39990234375,5070.02978515625
2015-06-30,6521.0,4986.8701171875
2015-07-31,6696.2998046875,5128.27978515625
2015-08-31,6247.89990234375,4776.509765625
2015-09-30,6061.60009765625,4620.16015625
2015-10-31,6361.10009765625,5053.75
2015-11-30,6356.10009765625,5108.669921875
2015-12-31,6242.2998046875,5007.41015625
2016-01-31,6083.7998046875,4613.9501953125
2016-02-29,6097.10009765625,4557.9501953125
2016-03-31,6174.89990234375,4869.85009765625
2016-04-30,6241.89990234375,4775.35986328125
2016-05-31,6230.7998046875,4948.0498046875
2016-06-30,6504.2998046875,4842.669921875
2016-07-31,6724.39990234375,5162.1298828125
2016-08-31,6781.5,5213.22021484375
2016-09-30,6899.2998046875,5312.0
2016-10-31,6954.2001953125,5189.14013671875
2016-11-30,6783.7998046875,5323.68017578125
2016-12-31,7142.7998046875,5383.1201171875
2017-01-31,7099.2001953125,5614.7900390625
2017-02-28,7263.39990234375,5825.43994140625
2017-03-31,7322.89990234375,5911.740234375
2017-04-30,7203.89990234375,6047.60986328125
2017-05-31,7520.0,6198.52001953125
2017-06-30,7312.7001953125,6140.419921875
2017-07-31,7372.0,6348.1201171875
2017-08-31,7430.60009765625,6428.66015625
2017-09-30,7372.7998046875,6495.9599609375
2017-10-31,7493.10009765625,6727.669921875
2017-11-30,7326.7001953125,6873.97021484375
2017-12-31,7687.7998046875,6903.39013671875
